Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Critical adapted distance,Fitness_Velocity at critical distance,Critical
14191,0.175000,1.125000,5.000000,-0.021199,-0.716412,0
14192,0.175000,1.312500,4.375000,-0.004474,-0.742730,0
14193,0.175000,1.625000,5.000000,-0.003877,-0.743618,0
14194,0.175000,0.812500,2.291667,-0.010013,-0.732896,0
14195,0.175000,1.375000,4.791667,-0.007274,-0.733316,0
14196,0.175000,0.937500,2.916667,-0.006798,-0.734958,0
14197,0.775000,1.687500,0.833333,-0.094025,-0.122188,0
14198,0.737500,1.500000,0.625000,-0.105619,-0.102320,0
14199,0.212500,0.500000,5.000000,-0.000000,-0.820420,0
14200,0.100000,1.750000,0.208333,-0.000000,-0.819523,0
14201,0.137500,1.187500,0.208333,-0.000004,-0.819024,0
14202,0.137500,1.437500,1.041667,-0.000005,-0.812416,0
14203,0.137500,1.187500,0.416667,-0.000006,-0.802292,0
14204,0.137500,1.437500,1.250000,-0.000007,-0.796455,0
14205,0.137500,1.562500,1.875000,-0.000011,-0.775298,0
14206,0.137500,1.687500,2.083333,-0.000011,-0.777047,0
14207,0.137500,1.812500,2.291667,-0.000011,-0.775878,0
14208,0.137500,2.000000,2.500000,-0.000011,-0.777638,0
14209,0.137500,1.187500,0.625000,-0.000008,-0.787594,0
14210,0.175000,1.125000,3.125000,-0.002116,-0.773719,0
14211,0.137500,1.375000,1.458333,-0.000011,-0.774152,0
14212,0.175000,0.875000,3.750000,-0.021175,-0.716412,0
14213,0.175000,1.187500,3.958333,-0.004383,-0.741985,0
14214,0.175000,0.625000,0.208333,-0.009821,-0.732896,0
14215,0.175000,1.125000,4.166667,-0.009949,-0.731506,0
14216,0.175000,0.687500,0.625000,-0.005555,-0.734958,0
14217,0.775000,1.875000,1.041667,-0.094018,-0.122188,0
14218,0.737500,2.000000,1.250000,-0.105522,-0.102320,0
14219,0.100000,1.625000,0.000000,-0.000000,-0.818665,0
14220,0.100000,1.875000,0.416667,-0.000000,-0.816965,0
14221,0.100000,2.000000,0.625000,-0.000000,-0.812808,0
14222,0.100000,1.562500,0.000000,-0.000000,-0.808782,0
14223,0.100000,1.625000,0.208333,-0.000000,-0.802604,0
