Index,car_width,car_length,sampling_rate,isCollision,ego_vimpact,min_ttc,stopCondition,endTime,timeCollision
210,1.98,4.31,100,0.00,0.00,0.09,3.00,10.00,-1
211,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
212,1.98,4.31,100,1.00,1.49,10.00,4.00,6.71,-1
213,1.98,4.31,100,1.00,1.17,10.00,4.00,8.12,-1
214,1.98,4.31,100,1.00,2.73,10.00,4.00,4.33,-1
215,1.98,4.31,100,1.00,2.54,10.00,4.00,4.31,-1
216,1.98,4.31,100,1.00,2.73,10.00,4.00,4.33,-1
217,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
218,1.98,4.31,100,1.00,2.29,10.00,4.00,4.65,-1
219,1.98,4.31,100,1.00,2.30,10.00,4.00,4.55,-1
220,1.98,4.31,100,1.00,2.80,0.10,4.00,9.28,-1
221,1.98,4.31,100,1.00,1.40,10.00,4.00,7.09,-1
222,1.98,4.31,100,1.00,1.18,10.00,4.00,8.04,-1
223,1.98,4.31,100,1.00,2.54,10.00,4.00,4.33,-1
224,1.98,4.31,100,1.00,2.65,10.00,4.00,4.82,-1
225,1.98,4.31,100,1.00,2.69,10.00,4.00,4.64,-1
226,1.98,4.31,100,1.00,2.65,10.00,4.00,4.82,-1
227,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
228,1.98,4.31,100,1.00,1.50,10.00,4.00,6.77,-1
229,1.98,4.31,100,1.00,2.14,10.00,4.00,4.58,-1
230,1.98,4.31,100,1.00,1.82,0.34,4.00,9.40,-1
231,1.98,4.31,100,1.00,1.16,10.00,4.00,8.24,-1
232,1.98,4.31,100,1.00,1.16,10.00,4.00,8.25,-1
233,1.98,4.31,100,1.00,1.08,10.00,4.00,8.78,-1
234,1.98,4.31,100,1.00,1.08,10.00,4.00,8.77,-1
235,1.98,4.31,100,1.00,2.65,10.00,4.00,4.83,-1
236,1.98,4.31,100,1.00,1.50,10.00,4.00,6.79,-1
237,1.98,4.31,100,1.00,2.07,10.00,4.00,4.88,-1
238,1.98,4.31,100,1.00,2.46,10.00,4.00,4.42,-1
239,1.98,4.31,100,1.00,2.13,10.00,4.00,4.57,-1
240,1.98,4.31,100,1.00,2.77,10.00,4.00,4.08,-1
241,1.98,4.31,100,0.00,0.00,0.11,3.00,10.00,-1
242,1.98,4.31,100,0.00,0.00,0.13,3.00,10.00,-1
243,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
244,1.98,4.31,100,0.00,0.00,0.09,3.00,10.00,-1
245,1.98,4.31,100,1.00,1.49,10.00,4.00,6.71,-1
246,1.98,4.31,100,1.00,1.17,10.00,4.00,8.12,-1
247,1.98,4.31,100,1.00,2.84,0.15,4.00,8.78,-1
248,1.98,4.31,100,1.00,2.89,0.37,4.00,7.98,-1
249,1.98,4.31,100,1.00,2.84,10.00,4.00,3.99,-1
250,1.98,4.31,100,1.00,2.82,10.00,4.00,4.30,-1
251,1.98,4.31,100,0.00,0.00,0.34,3.00,10.00,-1
252,1.98,4.31,100,1.00,1.40,10.00,4.00,7.09,-1
253,1.98,4.31,100,1.00,1.18,10.00,4.00,8.04,-1
254,1.98,4.31,100,1.00,3.01,0.13,4.00,9.29,-1
255,1.98,4.31,100,1.00,2.80,0.10,4.00,9.28,-1
256,1.98,4.31,100,1.00,2.39,0.14,4.00,8.73,-1
257,1.98,4.31,100,1.00,2.48,10.00,4.00,4.19,-1
258,1.98,4.31,100,1.00,2.52,10.00,4.00,4.23,-1
259,1.98,4.31,100,1.00,2.54,10.00,4.00,4.31,-1
260,1.98,4.31,100,1.00,2.73,10.00,4.00,4.33,-1
261,1.98,4.31,100,1.00,2.73,10.00,4.00,4.33,-1
262,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
263,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
264,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
265,1.98,4.31,100,1.00,2.76,10.00,4.00,4.60,-1
266,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
267,1.98,4.31,100,1.00,1.08,10.00,4.00,8.78,-1
268,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
269,1.98,4.31,100,1.00,2.54,10.00,4.00,4.33,-1
270,1.98,4.31,100,0.00,0.00,0.13,3.00,10.00,-1
271,1.98,4.31,100,1.00,1.90,0.11,4.00,9.58,-1
272,1.98,4.31,100,1.00,1.16,10.00,4.00,8.24,-1
273,1.98,4.31,100,1.00,2.24,0.09,4.00,9.14,-1
274,1.98,4.31,100,1.00,3.08,0.13,4.00,9.37,-1
275,1.98,4.31,100,1.00,2.69,10.00,4.00,4.64,-1
276,1.98,4.31,100,1.00,1.16,10.00,4.00,8.25,-1
277,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
278,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
279,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
280,1.98,4.31,100,1.00,2.77,10.00,4.00,4.08,-1
281,1.98,4.31,100,0.00,0.00,0.11,3.00,10.00,-1
282,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
283,1.98,4.31,100,0.00,0.00,0.09,3.00,10.00,-1
284,1.98,4.31,100,1.00,2.84,0.15,4.00,8.78,-1
285,1.98,4.31,100,1.00,2.89,0.37,4.00,7.98,-1
286,1.98,4.31,100,1.00,2.84,10.00,4.00,3.99,-1
287,1.98,4.31,100,1.00,2.82,10.00,4.00,4.30,-1
288,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
289,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
290,1.98,4.31,100,1.00,1.20,10.00,4.00,7.97,-1
291,1.98,4.31,100,0.00,0.00,0.08,3.00,10.00,-1
292,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
293,1.98,4.31,100,1.00,2.74,10.00,4.00,3.98,-1
294,1.98,4.31,100,1.00,2.77,10.00,4.00,4.08,-1
295,1.98,4.31,100,1.00,3.01,0.13,4.00,9.29,-1
296,1.98,4.31,100,1.00,2.39,0.14,4.00,8.73,-1
297,1.98,4.31,100,1.00,2.55,0.09,4.00,9.18,-1
298,1.98,4.31,100,1.00,3.01,0.13,4.00,9.29,-1
299,1.98,4.31,100,1.00,2.50,10.00,4.00,4.06,-1
300,1.98,4.31,100,1.00,2.64,0.37,4.00,8.21,-1
301,1.98,4.31,100,1.00,2.76,10.00,4.00,4.60,-1
302,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
303,1.98,4.31,100,0.00,0.00,0.13,3.00,10.00,-1
304,1.98,4.31,100,1.00,1.49,10.00,4.00,6.71,-1
305,1.98,4.31,100,1.00,1.17,10.00,4.00,8.12,-1
306,1.98,4.31,100,1.00,2.52,10.00,4.00,4.23,-1
307,1.98,4.31,100,1.00,2.51,10.00,4.00,4.23,-1
308,1.98,4.31,100,1.00,2.54,10.00,4.00,4.31,-1
309,1.98,4.31,100,1.00,2.73,10.00,4.00,4.33,-1
310,1.98,4.31,100,1.00,2.57,10.00,4.00,4.28,-1
